"","date","Q","DO","Temp"
"103",2019-06-30 00:30:00,915,7.9,22.8
"104",2019-06-30 00:45:00,899,7.8,22.8
"105",2019-06-30 01:00:00,888,7.8,22.7
"106",2019-06-30 01:15:00,872,7.8,22.6
"107",2019-06-30 01:30:00,856,7.8,22.6
"108",2019-06-30 01:45:00,851,7.8,22.5
"109",2019-06-30 02:00:00,841,7.7,22.5
"110",2019-06-30 02:15:00,830,7.7,22.4
"111",2019-06-30 02:30:00,825,7.7,22.4
"112",2019-06-30 02:45:00,815,7.7,22.3
"113",2019-06-30 03:00:00,804,7.7,22.3
"114",2019-06-30 03:15:00,799,7.6,22.2
"115",2019-06-30 03:30:00,779,7.6,22.2
"116",2019-06-30 03:45:00,774,7.6,22.2
"117",2019-06-30 04:00:00,764,7.6,22.1
"118",2019-06-30 04:15:00,759,7.6,22.1
"119",2019-06-30 04:30:00,742,7.6,22
"120",2019-06-30 04:45:00,732,7.6,22
"121",2019-06-30 05:00:00,716,7.6,22
"122",2019-06-30 05:15:00,711,7.6,22
"123",2019-06-30 05:30:00,690,7.6,21.9
"124",2019-06-30 05:45:00,690,7.6,21.9
"125",2019-06-30 06:00:00,680,7.6,21.9
"126",2019-06-30 06:15:00,675,7.6,21.9
"127",2019-06-30 06:30:00,670,7.6,21.9
"128",2019-06-30 06:45:00,655,7.6,21.9
"129",2019-06-30 07:00:00,640,7.6,21.9
"130",2019-06-30 07:15:00,640,7.6,21.9
"131",2019-06-30 07:30:00,635,7.6,21.9
"132",2019-06-30 07:45:00,625,7.6,21.9
"133",2019-06-30 08:00:00,621,7.6,21.9
"134",2019-06-30 08:15:00,616,7.6,21.9
"135",2019-06-30 08:30:00,611,7.6,21.9
"136",2019-06-30 08:45:00,606,7.6,22
"137",2019-06-30 09:00:00,606,7.6,22
"138",2019-06-30 09:15:00,606,7.6,22.1
"139",2019-06-30 09:30:00,592,7.6,22.2
"140",2019-06-30 09:45:00,592,7.7,22.2
"141",2019-06-30 10:00:00,583,7.7,22.3
"142",2019-06-30 10:15:00,592,7.7,22.4
"143",2019-06-30 10:30:00,578,7.8,22.5
"144",2019-06-30 10:45:00,578,7.8,22.6
"145",2019-06-30 11:00:00,574,7.9,22.6
"146",2019-06-30 11:15:00,574,7.9,22.7
"147",2019-06-30 11:30:00,569,8,22.8
"148",2019-06-30 11:45:00,564,8,22.8
"149",2019-06-30 12:00:00,560,8.1,22.9
"150",2019-06-30 12:15:00,555,8.1,23
"151",2019-06-30 12:30:00,560,8.2,23.1
"152",2019-06-30 12:45:00,551,8.3,23.2
"153",2019-06-30 13:00:00,551,8.3,23.3
"154",2019-06-30 13:15:00,551,8.4,23.4
"155",2019-06-30 13:30:00,542,8.4,23.5
"156",2019-06-30 13:45:00,538,8.5,23.6
"157",2019-06-30 14:00:00,533,8.5,23.6
"158",2019-06-30 14:15:00,538,8.6,23.7
"159",2019-06-30 14:30:00,533,8.6,23.8
"160",2019-06-30 14:45:00,538,8.6,23.8
"161",2019-06-30 15:00:00,529,8.6,23.9
"162",2019-06-30 15:15:00,529,8.6,23.9
"163",2019-06-30 15:30:00,524,8.6,24
"164",2019-06-30 15:45:00,520,8.6,24
"165",2019-06-30 16:00:00,525,8.6,24
"166",2019-06-30 16:15:00,516,8.6,24
"167",2019-06-30 16:30:00,520,8.6,24
"168",2019-06-30 16:45:00,516,8.5,24
"169",2019-06-30 17:00:00,512,8.6,24
"170",2019-06-30 17:15:00,516,8.5,24
"171",2019-06-30 17:30:00,512,8.5,24
"172",2019-06-30 17:45:00,507,8.5,24
"173",2019-06-30 18:00:00,507,8.4,24
"174",2019-06-30 18:15:00,507,8.4,24
"175",2019-06-30 18:30:00,503,8.4,24
"176",2019-06-30 18:45:00,503,8.3,23.9
"177",2019-06-30 19:00:00,499,8.3,23.9
"178",2019-06-30 19:15:00,503,8.3,23.9
"179",2019-06-30 19:30:00,499,8.2,23.8
"180",2019-06-30 19:45:00,499,8.2,23.8
"181",2019-06-30 20:00:00,490,8.1,23.8
"182",2019-06-30 20:15:00,495,8.2,23.7
"183",2019-06-30 20:30:00,490,8.1,23.7
"184",2019-06-30 20:45:00,486,8.1,23.6
"185",2019-06-30 21:00:00,486,8,23.6
"186",2019-06-30 21:15:00,486,8,23.5
"187",2019-06-30 21:30:00,486,8,23.4
"188",2019-06-30 21:45:00,486,7.9,23.4
"189",2019-06-30 22:00:00,486,8,23.3
"190",2019-06-30 22:15:00,486,7.9,23.3
"191",2019-06-30 22:30:00,481,7.9,23.2
"192",2019-06-30 22:45:00,481,7.8,23.2
"193",2019-06-30 23:00:00,481,7.8,23.1
"194",2019-06-30 23:15:00,476,7.8,23.1
"195",2019-06-30 23:30:00,476,7.7,23
"196",2019-06-30 23:45:00,481,7.8,22.9
"197",2019-07-01 00:00:00,471,7.7,22.9
"198",2019-07-01 00:15:00,471,7.7,22.8
"199",2019-07-01 00:30:00,471,7.7,22.8
"200",2019-07-01 00:45:00,471,7.7,22.7
"201",2019-07-01 01:00:00,466,7.6,22.6
"202",2019-07-01 01:15:00,466,7.6,22.6
"203",2019-07-01 01:30:00,466,7.6,22.5
"204",2019-07-01 01:45:00,466,7.6,22.4
"205",2019-07-01 02:00:00,466,7.6,22.4
"206",2019-07-01 02:15:00,462,7.6,22.3
"207",2019-07-01 02:30:00,462,7.6,22.2
"208",2019-07-01 02:45:00,462,7.6,22.2
"209",2019-07-01 03:00:00,462,7.6,22.1
"210",2019-07-01 03:15:00,462,7.6,22
"211",2019-07-01 03:30:00,462,7.6,22
"212",2019-07-01 03:45:00,466,7.6,21.9
"213",2019-07-01 04:00:00,457,7.6,21.8
"214",2019-07-01 04:15:00,462,7.6,21.8
"215",2019-07-01 04:30:00,452,7.6,21.7
"216",2019-07-01 04:45:00,457,7.6,21.6
"217",2019-07-01 05:00:00,462,7.6,21.6
"218",2019-07-01 05:15:00,452,7.6,21.5
"219",2019-07-01 05:30:00,457,7.6,21.4
"220",2019-07-01 05:45:00,457,7.6,21.4
"221",2019-07-01 06:00:00,457,7.6,21.3
"222",2019-07-01 06:15:00,452,7.6,21.2
"223",2019-07-01 06:30:00,457,7.6,21.2
"224",2019-07-01 06:45:00,452,7.6,21.1
"225",2019-07-01 07:00:00,452,7.7,21.1
"226",2019-07-01 07:15:00,457,7.7,21
"227",2019-07-01 07:30:00,448,7.7,21
"228",2019-07-01 07:45:00,448,7.8,21
"229",2019-07-01 08:00:00,452,7.8,21
"230",2019-07-01 08:15:00,448,7.9,21
"231",2019-07-01 08:30:00,448,7.9,21
"232",2019-07-01 08:45:00,457,8,21.1
"233",2019-07-01 09:00:00,448,8,21.1
"234",2019-07-01 09:15:00,448,8.1,21.2
"235",2019-07-01 09:30:00,452,8.1,21.2
"236",2019-07-01 09:45:00,448,8.2,21.3
"237",2019-07-01 10:00:00,448,8.2,21.4
"238",2019-07-01 10:15:00,448,8.3,21.4
"239",2019-07-01 10:30:00,448,8.4,21.5
"240",2019-07-01 11:00:00,443,8.8,21.7
"241",2019-07-01 11:45:00,448,8.9,22
"242",2019-07-01 12:00:00,443,9,22.1
"243",2019-07-01 12:15:00,448,9,22.2
"244",2019-07-01 12:30:00,448,9.1,22.3
"245",2019-07-01 12:45:00,443,9.1,22.4
"246",2019-07-01 13:00:00,448,9.2,22.5
"247",2019-07-01 13:15:00,448,9.2,22.6
"248",2019-07-01 13:30:00,448,9.2,22.7
"249",2019-07-01 13:45:00,438,9.3,22.8
"250",2019-07-01 14:00:00,443,9.3,22.9
"251",2019-07-01 14:15:00,443,9.4,23
"252",2019-07-01 14:30:00,443,9.4,23.1
"253",2019-07-01 14:45:00,443,9.4,23.2
"254",2019-07-01 15:00:00,438,9.4,23.2
"255",2019-07-01 15:15:00,438,9.4,23.3
"256",2019-07-01 15:30:00,443,9.4,23.3
"257",2019-07-01 15:45:00,438,9.4,23.4
"258",2019-07-01 16:00:00,438,9.4,23.4
"259",2019-07-01 16:15:00,443,9.4,23.5
"260",2019-07-01 16:30:00,438,9.4,23.5
"261",2019-07-01 16:45:00,443,9.4,23.5
"262",2019-07-01 17:00:00,443,9.3,23.5
"263",2019-07-01 17:15:00,434,9.3,23.6
"264",2019-07-01 17:30:00,438,9.3,23.6
"265",2019-07-01 17:45:00,438,9.3,23.6
"266",2019-07-01 18:00:00,438,9.2,23.6
"267",2019-07-01 18:15:00,434,9.2,23.6
"268",2019-07-01 18:30:00,443,9.2,23.5
"269",2019-07-01 18:45:00,434,9.1,23.5
"270",2019-07-01 19:00:00,438,9.1,23.5
"271",2019-07-01 19:15:00,434,9,23.5
"272",2019-07-01 19:30:00,438,8.9,23.4
"273",2019-07-01 19:45:00,438,8.9,23.4
"274",2019-07-01 20:00:00,438,8.9,23.4
"275",2019-07-01 20:15:00,434,8.8,23.3
"276",2019-07-01 20:30:00,438,8.8,23.3
"277",2019-07-01 20:45:00,434,8.7,23.2
"278",2019-07-01 21:00:00,429,8.7,23.2
"279",2019-07-01 21:15:00,429,8.6,23.1
"280",2019-07-01 21:30:00,434,8.6,23.1
"281",2019-07-01 21:45:00,434,8.5,23
"282",2019-07-01 22:00:00,438,8.5,23
"283",2019-07-01 22:15:00,429,8.5,22.9
"284",2019-07-01 22:30:00,425,8.4,22.9
"285",2019-07-01 22:45:00,425,8.4,22.8
"286",2019-07-01 23:00:00,434,8.4,22.8
"287",2019-07-01 23:15:00,429,8.3,22.7
"288",2019-07-01 23:30:00,425,8.3,22.7
"289",2019-07-01 23:45:00,425,8.2,22.6
"290",2019-07-02 00:00:00,429,8.2,22.6
"291",2019-07-02 00:15:00,434,8.2,22.5
"292",2019-07-02 00:30:00,429,8.1,22.4
"293",2019-07-02 00:45:00,429,8.1,22.4
"294",2019-07-02 01:00:00,429,8.1,22.3
"295",2019-07-02 01:15:00,429,8,22.3
"296",2019-07-02 01:30:00,429,8,22.2
"297",2019-07-02 01:45:00,429,8,22.2
"298",2019-07-02 02:00:00,429,8,22.1
"299",2019-07-02 02:15:00,429,8,22.1
"300",2019-07-02 02:30:00,425,7.9,22
"301",2019-07-02 02:45:00,429,7.9,22
"302",2019-07-02 03:00:00,434,7.9,21.9
"303",2019-07-02 03:15:00,434,7.9,21.8
"304",2019-07-02 03:30:00,434,7.9,21.8
"305",2019-07-02 03:45:00,429,7.9,21.7
"306",2019-07-02 04:00:00,429,7.9,21.7
"307",2019-07-02 04:15:00,429,7.8,21.6
"308",2019-07-02 04:30:00,429,7.8,21.6
"309",2019-07-02 04:45:00,420,7.9,21.5
"310",2019-07-02 05:00:00,425,7.8,21.4
"311",2019-07-02 05:15:00,425,7.9,21.4
"312",2019-07-02 05:30:00,425,7.9,21.3
"313",2019-07-02 05:45:00,425,7.9,21.2
"314",2019-07-02 06:00:00,429,7.9,21.2
"315",2019-07-02 06:15:00,429,7.9,21.1
"316",2019-07-02 06:30:00,429,7.9,21.1
"317",2019-07-02 06:45:00,425,7.9,21
"318",2019-07-02 07:00:00,425,8,21
"319",2019-07-02 07:15:00,434,8,21
"320",2019-07-02 07:30:00,434,8,21
"321",2019-07-02 07:45:00,425,8.1,21
"322",2019-07-02 08:00:00,425,8.2,21
"323",2019-07-02 08:15:00,429,8.2,21
"324",2019-07-02 08:30:00,429,8.2,21
"325",2019-07-02 08:45:00,425,8.3,21
"326",2019-07-02 09:00:00,429,8.4,21.1
"327",2019-07-02 09:15:00,429,8.4,21.1
"328",2019-07-02 09:30:00,429,8.5,21.2
"329",2019-07-02 09:45:00,425,8.6,21.3
"330",2019-07-02 10:00:00,429,8.7,21.3
"331",2019-07-02 10:15:00,429,8.7,21.4
"332",2019-07-02 10:30:00,425,8.8,21.5
"333",2019-07-02 10:45:00,434,8.9,21.6
"334",2019-07-02 11:00:00,429,8.9,21.7
"335",2019-07-02 11:15:00,425,9,21.8
"336",2019-07-02 11:30:00,429,9,21.8
"337",2019-07-02 11:45:00,429,9.1,21.9
"338",2019-07-02 12:00:00,429,9.2,22
"339",2019-07-02 12:15:00,429,9.2,22.1
"340",2019-07-02 12:30:00,429,9.2,22.2
"341",2019-07-02 12:45:00,434,9.3,22.3
"342",2019-07-02 13:00:00,429,9.4,22.4
"343",2019-07-02 13:15:00,429,9.4,22.5
"344",2019-07-02 13:30:00,429,9.5,22.6
"345",2019-07-02 13:45:00,429,9.5,22.8
"346",2019-07-02 14:00:00,429,9.5,22.8
"347",2019-07-02 14:15:00,429,9.6,22.9
"348",2019-07-02 14:30:00,429,9.6,23
"349",2019-07-02 14:45:00,425,9.6,23.2
"350",2019-07-02 15:00:00,429,9.7,23.3
"351",2019-07-02 15:15:00,429,9.7,23.3
"352",2019-07-02 15:30:00,425,9.7,23.4
"353",2019-07-02 15:45:00,425,9.6,23.4
"354",2019-07-02 16:00:00,425,9.7,23.5
"355",2019-07-02 16:15:00,425,9.6,23.5
"356",2019-07-02 16:30:00,429,9.6,23.6
"357",2019-07-02 16:45:00,429,9.6,23.6
"358",2019-07-02 17:00:00,425,9.6,23.7
"359",2019-07-02 17:15:00,425,9.6,23.7
"360",2019-07-02 17:30:00,425,9.5,23.7
"361",2019-07-02 17:45:00,429,9.5,23.7
"362",2019-07-02 18:00:00,429,9.4,23.8
"363",2019-07-02 18:15:00,429,9.4,23.8
"364",2019-07-02 18:30:00,425,9.3,23.8
"365",2019-07-02 18:45:00,429,9.2,23.8
"366",2019-07-02 19:00:00,425,9.2,23.8
"367",2019-07-02 19:15:00,429,9.1,23.7
"368",2019-07-02 19:30:00,434,9,23.7
"369",2019-07-02 19:45:00,434,8.9,23.7
"370",2019-07-02 20:00:00,438,8.9,23.7
"371",2019-07-02 20:15:00,438,8.8,23.7
"372",2019-07-02 20:30:00,443,8.8,23.6
"373",2019-07-02 20:45:00,448,8.7,23.6
"374",2019-07-02 21:00:00,462,8.7,23.6
"375",2019-07-02 21:15:00,499,8.6,23.6
"376",2019-07-02 21:30:00,543,8.6,23.6
"377",2019-07-02 21:45:00,616,8.6,23.5
"378",2019-07-02 22:00:00,785,8.5,23.5
"379",2019-07-02 22:15:00,955,8.4,23.4
"380",2019-07-02 22:30:00,1100,8.4,23.4
"381",2019-07-02 22:45:00,1190,8.2,23.3
"382",2019-07-02 23:00:00,1270,8.1,23.2
"383",2019-07-02 23:15:00,1310,8,23
"384",2019-07-02 23:30:00,1330,7.9,23
"385",2019-07-02 23:45:00,1310,7.8,22.9
"386",2019-07-03 00:00:00,1290,7.7,22.8
"387",2019-07-03 00:15:00,1280,7.7,22.7
"388",2019-07-03 00:30:00,1280,7.7,22.7
"389",2019-07-03 00:45:00,1300,7.6,22.6
"390",2019-07-03 01:00:00,1340,7.6,22.6
"391",2019-07-03 01:15:00,1400,7.6,22.5
"392",2019-07-03 01:30:00,1430,7.5,22.4
"393",2019-07-03 01:45:00,1480,7.5,22.3
"394",2019-07-03 02:00:00,1500,7.5,22.3
"395",2019-07-03 02:15:00,1510,7.5,22.2
"396",2019-07-03 02:30:00,1530,7.5,22.1
"397",2019-07-03 02:45:00,1540,7.5,22.1
"398",2019-07-03 03:00:00,1490,7.5,22
"399",2019-07-03 03:15:00,1480,7.5,22
"400",2019-07-03 03:30:00,1410,7.6,22
"401",2019-07-03 03:45:00,1380,7.6,22
"402",2019-07-03 04:00:00,1320,7.6,22.1
"403",2019-07-03 04:15:00,1270,7.6,22.1
"404",2019-07-03 04:30:00,1210,7.6,22.1
"405",2019-07-03 04:45:00,1150,7.6,22.1
"406",2019-07-03 05:00:00,1110,7.6,22.1
"407",2019-07-03 05:15:00,1040,7.5,22.1
"408",2019-07-03 05:30:00,999,7.5,22.1
"409",2019-07-03 05:45:00,949,7.5,22.1
"410",2019-07-03 06:00:00,916,7.5,22.1
"411",2019-07-03 06:15:00,884,7.5,22.1
"412",2019-07-03 06:30:00,852,7.5,22.1
"413",2019-07-03 06:45:00,826,7.4,22
"414",2019-07-03 07:00:00,810,7.4,22
"415",2019-07-03 07:15:00,780,7.4,22.1
"416",2019-07-03 07:30:00,770,7.4,22.1
"417",2019-07-03 07:45:00,754,7.4,22.1
"418",2019-07-03 08:00:00,738,7.4,22.2
"419",2019-07-03 08:15:00,722,7.4,22.2
"420",2019-07-03 08:30:00,706,7.4,22.2
"421",2019-07-03 08:45:00,706,7.4,22.3
"422",2019-07-03 09:00:00,691,7.4,22.3
"423",2019-07-03 09:15:00,691,7.4,22.4
"424",2019-07-03 09:30:00,676,7.4,22.5
"425",2019-07-03 09:45:00,676,7.4,22.5
"426",2019-07-03 10:00:00,665,7.4,22.6
"427",2019-07-03 10:15:00,665,7.4,22.6
"428",2019-07-03 10:30:00,660,7.4,22.7
"429",2019-07-03 10:45:00,650,7.4,22.8
"430",2019-07-03 11:00:00,641,7.4,22.9
"431",2019-07-03 11:15:00,655,7.4,23
"432",2019-07-03 11:30:00,641,7.4,23.1
"433",2019-07-03 11:45:00,650,7.4,23.2
"434",2019-07-03 12:00:00,650,7.4,23.2
"435",2019-07-03 12:15:00,641,7.5,23.3
"436",2019-07-03 12:30:00,641,7.5,23.4
"437",2019-07-03 12:45:00,650,7.5,23.5
"438",2019-07-03 13:00:00,641,7.5,23.6
"439",2019-07-03 13:15:00,641,7.6,23.6
"440",2019-07-03 13:30:00,636,7.6,23.7
"441",2019-07-03 13:45:00,631,7.6,23.8
"442",2019-07-03 14:00:00,636,7.7,23.9
"443",2019-07-03 14:15:00,626,7.7,24
"444",2019-07-03 14:30:00,626,7.8,24
"445",2019-07-03 14:45:00,626,7.8,24.1
"446",2019-07-03 15:00:00,612,7.8,24.2
"447",2019-07-03 15:15:00,616,7.9,24.2
"448",2019-07-03 15:30:00,612,7.9,24.2
"449",2019-07-03 15:45:00,607,7.9,24.2
"450",2019-07-03 16:00:00,597,7.9,24.2
"451",2019-07-03 16:15:00,602,7.9,24.2
"452",2019-07-03 16:30:00,593,7.9,24.2
"453",2019-07-03 16:45:00,588,7.9,24.3
"454",2019-07-03 17:00:00,588,7.9,24.2
"455",2019-07-03 17:15:00,583,7.9,24.2
"456",2019-07-03 17:30:00,579,7.9,24.2
"457",2019-07-03 17:45:00,579,7.9,24.3
"458",2019-07-03 18:00:00,579,7.8,24.3
"459",2019-07-03 18:15:00,570,7.8,24.3
"460",2019-07-03 18:30:00,570,7.8,24.3
"461",2019-07-03 18:45:00,565,7.8,24.3
"462",2019-07-03 19:00:00,565,7.8,24.3
"463",2019-07-03 19:15:00,556,7.8,24.2
"464",2019-07-03 19:30:00,556,7.8,24.2
"465",2019-07-03 19:45:00,551,7.8,24.2
"466",2019-07-03 20:00:00,547,7.8,24.2
"467",2019-07-03 20:15:00,543,7.8,24.2
"468",2019-07-03 20:30:00,543,7.8,24.1
"469",2019-07-03 20:45:00,538,7.8,24.1
"470",2019-07-03 21:00:00,538,7.8,24.1
"471",2019-07-03 21:15:00,538,7.8,24.1
"472",2019-07-03 21:30:00,529,7.8,24
"473",2019-07-03 21:45:00,525,7.7,24
"474",2019-07-03 22:00:00,525,7.7,24
"475",2019-07-03 22:15:00,521,7.7,24
"476",2019-07-03 22:30:00,521,7.7,24
"477",2019-07-03 22:45:00,521,7.7,23.9
